pathname,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,target
karabin/(69).jpg,1.0,0.0,10.0,15.0,15.0,5.0,9.0,22.0,2.0,1.0,3.0,10.0,5.0,3.0,1.0,1.0,11.0,0.0,3.0,0.0,1.0,3.0,2.0,1.0,4.0,16.0,4.0,27.0,3.0,40.0,9.0,4.0,6.0,5.0,1.0,4.0,1.0,2.0,4.0,1.0,karabin
karabin/(73).jpg,1.0,1.0,7.0,19.0,16.0,20.0,6.0,6.0,10.0,2.0,66.0,1.0,4.0,9.0,4.0,26.0,7.0,26.0,1.0,9.0,23.0,10.0,3.0,4.0,4.0,2.0,10.0,11.0,1.0,7.0,12.0,1.0,3.0,5.0,93.0,6.0,9.0,2.0,22.0,31.0,karabin
karabin/(60).jpg,27.0,17.0,12.0,13.0,37.0,11.0,6.0,9.0,3.0,11.0,11.0,18.0,14.0,6.0,8.0,6.0,3.0,7.0,9.0,5.0,14.0,11.0,4.0,8.0,4.0,17.0,5.0,37.0,7.0,53.0,14.0,2.0,1.0,3.0,40.0,2.0,30.0,8.0,6.0,1.0,karabin
karabin/(23).jpg,3.0,2.0,5.0,4.0,4.0,25.0,1.0,3.0,2.0,2.0,10.0,5.0,13.0,19.0,8.0,0.0,6.0,2.0,20.0,1.0,3.0,5.0,3.0,2.0,0.0,7.0,0.0,2.0,2.0,3.0,3.0,0.0,0.0,4.0,2.0,3.0,23.0,0.0,4.0,2.0,karabin
karabin/(67).jpg,5.0,23.0,4.0,1.0,2.0,17.0,6.0,5.0,7.0,8.0,15.0,2.0,6.0,10.0,3.0,34.0,6.0,28.0,7.0,5.0,39.0,5.0,3.0,8.0,7.0,14.0,11.0,3.0,3.0,3.0,2.0,13.0,3.0,4.0,127.0,11.0,13.0,11.0,21.0,5.0,karabin
karabin/(25).jpg,9.0,4.0,14.0,25.0,7.0,7.0,18.0,9.0,11.0,3.0,9.0,6.0,8.0,11.0,11.0,12.0,13.0,17.0,6.0,1.0,21.0,19.0,2.0,13.0,11.0,14.0,7.0,28.0,6.0,35.0,36.0,5.0,15.0,4.0,39.0,5.0,10.0,5.0,13.0,11.0,karabin
karabin/(71).jpg,6.0,2.0,9.0,6.0,21.0,10.0,3.0,16.0,3.0,5.0,18.0,11.0,7.0,24.0,4.0,1.0,12.0,7.0,14.0,2.0,57.0,25.0,2.0,4.0,11.0,7.0,8.0,9.0,5.0,6.0,13.0,0.0,13.0,3.0,125.0,3.0,18.0,0.0,9.0,1.0,karabin
karabin/(82).jpg,6.0,9.0,7.0,12.0,8.0,9.0,2.0,5.0,4.0,8.0,19.0,5.0,5.0,35.0,10.0,21.0,1.0,32.0,8.0,5.0,64.0,16.0,4.0,15.0,5.0,5.0,16.0,7.0,4.0,25.0,11.0,8.0,2.0,2.0,67.0,7.0,3.0,7.0,19.0,2.0,karabin
karabin/(38).jpg,9.0,16.0,24.0,15.0,8.0,6.0,7.0,3.0,15.0,18.0,11.0,18.0,9.0,10.0,10.0,24.0,6.0,23.0,9.0,9.0,11.0,6.0,10.0,18.0,13.0,10.0,12.0,7.0,15.0,8.0,32.0,16.0,14.0,9.0,14.0,15.0,9.0,9.0,8.0,14.0,karabin
karabin/(1).jpg,11.0,25.0,11.0,3.0,3.0,6.0,20.0,13.0,22.0,25.0,4.0,8.0,4.0,12.0,7.0,22.0,2.0,31.0,6.0,24.0,3.0,2.0,17.0,28.0,9.0,11.0,25.0,13.0,10.0,5.0,7.0,31.0,9.0,7.0,6.0,27.0,4.0,11.0,11.0,5.0,karabin
karabin/(79).jpg,6.0,7.0,11.0,3.0,22.0,23.0,26.0,22.0,15.0,17.0,12.0,6.0,11.0,19.0,12.0,6.0,9.0,2.0,22.0,5.0,11.0,7.0,23.0,5.0,16.0,16.0,10.0,17.0,22.0,21.0,4.0,10.0,2.0,16.0,11.0,14.0,11.0,6.0,20.0,2.0,karabin
karabin/(40).jpg,9.0,27.0,0.0,1.0,2.0,3.0,16.0,7.0,27.0,9.0,1.0,9.0,2.0,9.0,9.0,27.0,7.0,28.0,14.0,33.0,2.0,6.0,25.0,29.0,11.0,12.0,15.0,10.0,16.0,5.0,5.0,32.0,5.0,23.0,3.0,20.0,1.0,25.0,4.0,11.0,karabin
karabin/(4).jpg,17.0,18.0,5.0,0.0,2.0,10.0,18.0,15.0,20.0,21.0,7.0,5.0,3.0,11.0,9.0,18.0,5.0,21.0,11.0,33.0,5.0,4.0,18.0,34.0,17.0,9.0,18.0,12.0,11.0,7.0,3.0,28.0,7.0,16.0,7.0,23.0,2.0,15.0,13.0,2.0,karabin
karabin/(63).jpg,14.0,6.0,31.0,26.0,28.0,2.0,4.0,13.0,7.0,2.0,4.0,17.0,9.0,10.0,7.0,23.0,12.0,20.0,3.0,8.0,6.0,17.0,1.0,20.0,9.0,12.0,7.0,28.0,16.0,38.0,22.0,11.0,7.0,6.0,11.0,9.0,3.0,9.0,9.0,13.0,karabin
karabin/(64).jpg,15.0,10.0,30.0,12.0,7.0,10.0,5.0,19.0,4.0,1.0,3.0,26.0,5.0,5.0,22.0,7.0,13.0,6.0,12.0,8.0,2.0,12.0,4.0,8.0,9.0,15.0,5.0,23.0,7.0,56.0,60.0,3.0,19.0,3.0,4.0,4.0,13.0,16.0,6.0,11.0,karabin
karabin/(76).jpg,9.0,9.0,19.0,11.0,6.0,11.0,18.0,12.0,15.0,7.0,8.0,11.0,5.0,6.0,9.0,11.0,5.0,17.0,2.0,6.0,12.0,20.0,5.0,9.0,10.0,12.0,5.0,12.0,8.0,19.0,11.0,9.0,7.0,8.0,104.0,8.0,12.0,3.0,17.0,12.0,karabin
karabin/(39).jpg,3.0,12.0,14.0,2.0,18.0,5.0,15.0,8.0,11.0,11.0,6.0,2.0,4.0,9.0,25.0,12.0,8.0,7.0,6.0,14.0,2.0,3.0,11.0,10.0,32.0,47.0,6.0,59.0,24.0,13.0,7.0,14.0,10.0,16.0,2.0,12.0,7.0,8.0,22.0,3.0,karabin
karabin/(83).jpg,7.0,13.0,4.0,12.0,17.0,7.0,9.0,14.0,7.0,30.0,31.0,5.0,13.0,11.0,0.0,52.0,7.0,45.0,11.0,12.0,12.0,9.0,9.0,20.0,1.0,4.0,14.0,16.0,2.0,9.0,6.0,8.0,11.0,4.0,13.0,17.0,0.0,12.0,13.0,13.0,karabin
karabin/(95).jpg,4.0,7.0,38.0,16.0,12.0,2.0,5.0,5.0,3.0,6.0,8.0,16.0,14.0,5.0,3.0,27.0,4.0,29.0,5.0,0.0,38.0,28.0,1.0,9.0,2.0,3.0,5.0,1.0,6.0,9.0,17.0,3.0,4.0,2.0,143.0,3.0,12.0,1.0,4.0,0.0,karabin
karabin/(34).jpg,4.0,5.0,12.0,16.0,9.0,17.0,16.0,17.0,9.0,8.0,7.0,7.0,16.0,12.0,13.0,4.0,5.0,13.0,17.0,0.0,26.0,4.0,3.0,3.0,5.0,11.0,5.0,37.0,0.0,39.0,16.0,3.0,21.0,3.0,80.0,2.0,10.0,5.0,14.0,6.0,karabin
karabin/(29).jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,karabin
karabin/(12).jpg,16.0,12.0,23.0,19.0,12.0,10.0,10.0,7.0,15.0,8.0,10.0,32.0,5.0,9.0,6.0,12.0,14.0,15.0,19.0,5.0,8.0,19.0,5.0,8.0,12.0,15.0,13.0,10.0,8.0,8.0,23.0,4.0,9.0,6.0,38.0,11.0,17.0,13.0,5.0,9.0,karabin
