pathname,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,target
karabin/IMG_20201111_220200.jpg,6.0,5.0,0.0,8.0,10.0,78.0,6.0,7.0,8.0,5.0,16.0,10.0,14.0,7.0,26.0,20.0,13.0,15.0,10.0,6.0,5.0,7.0,6.0,10.0,5.0,58.0,16.0,38.0,23.0,2.0,11.0,6.0,5.0,8.0,4.0,5.0,0.0,9.0,6.0,6.0,karabin
karabin/(69).jpg,7.0,3.0,3.0,12.0,26.0,2.0,9.0,2.0,5.0,13.0,7.0,4.0,5.0,5.0,8.0,6.0,8.0,5.0,9.0,8.0,4.0,0.0,7.0,6.0,6.0,2.0,13.0,13.0,2.0,9.0,0.0,1.0,0.0,3.0,4.0,12.0,3.0,5.0,4.0,1.0,karabin
karabin/(73).jpg,9.0,9.0,6.0,2.0,10.0,60.0,6.0,6.0,5.0,1.0,11.0,38.0,14.0,3.0,3.0,3.0,8.0,6.0,1.0,5.0,4.0,1.0,3.0,5.0,3.0,29.0,5.0,6.0,11.0,3.0,0.0,35.0,61.0,8.0,70.0,7.0,31.0,1.0,2.0,9.0,karabin
karabin/(60).jpg,4.0,5.0,5.0,6.0,5.0,51.0,4.0,8.0,3.0,1.0,17.0,29.0,12.0,4.0,2.0,2.0,5.0,3.0,4.0,3.0,17.0,12.0,3.0,7.0,5.0,31.0,16.0,12.0,19.0,10.0,8.0,49.0,47.0,5.0,30.0,6.0,33.0,3.0,2.0,13.0,karabin
karabin/(23).jpg,0.0,0.0,0.0,21.0,28.0,1.0,4.0,0.0,5.0,6.0,3.0,3.0,5.0,6.0,28.0,3.0,1.0,0.0,3.0,4.0,3.0,2.0,4.0,4.0,3.0,6.0,10.0,7.0,5.0,3.0,2.0,5.0,5.0,3.0,1.0,3.0,0.0,0.0,1.0,2.0,karabin
karabin/(67).jpg,13.0,4.0,3.0,15.0,5.0,47.0,3.0,3.0,4.0,4.0,3.0,27.0,6.0,3.0,5.0,6.0,4.0,4.0,5.0,5.0,8.0,11.0,6.0,9.0,4.0,26.0,13.0,5.0,4.0,1.0,18.0,70.0,74.0,7.0,19.0,4.0,35.0,4.0,5.0,8.0,karabin
karabin/(25).jpg,15.0,2.0,8.0,26.0,34.0,11.0,8.0,23.0,9.0,12.0,11.0,11.0,6.0,11.0,33.0,8.0,13.0,12.0,11.0,13.0,4.0,7.0,13.0,16.0,10.0,7.0,14.0,15.0,9.0,8.0,10.0,31.0,9.0,18.0,7.0,10.0,9.0,9.0,10.0,7.0,karabin
karabin/(71).jpg,2.0,19.0,3.0,42.0,9.0,68.0,5.0,4.0,2.0,2.0,11.0,43.0,8.0,1.0,2.0,1.0,2.0,2.0,3.0,0.0,0.0,0.0,1.0,1.0,5.0,76.0,0.0,3.0,12.0,2.0,0.0,65.0,49.0,4.0,39.0,5.0,7.0,0.0,0.0,2.0,karabin
karabin/(82).jpg,5.0,18.0,11.0,4.0,18.0,26.0,3.0,9.0,5.0,5.0,6.0,22.0,12.0,1.0,8.0,15.0,22.0,5.0,3.0,13.0,5.0,4.0,17.0,4.0,16.0,38.0,13.0,13.0,5.0,7.0,3.0,43.0,21.0,12.0,41.0,10.0,16.0,6.0,7.0,8.0,karabin
karabin/(38).jpg,4.0,54.0,16.0,3.0,1.0,7.0,19.0,7.0,1.0,2.0,18.0,39.0,31.0,9.0,0.0,0.0,3.0,6.0,14.0,9.0,16.0,24.0,6.0,4.0,8.0,5.0,2.0,8.0,12.0,6.0,1.0,13.0,36.0,13.0,19.0,3.0,29.0,15.0,16.0,21.0,karabin
